activity_id,deal_id,activity_type,activity_date,notes
A00382,D0255,Follow Up,03/07/2026,"GREAT CALL TODAY, LOOKING FORWARD TO NEXT STEPS."
A00383,D0747,Call,2026-07-07,"This is taking longer than expected, we need an update ASAP."
A00384,D0397,note,26/04/2026,"Great call today, looking forward to next steps."
A00385,D0319,Meeting,03/06/2026,Please find attached the requested documents.
A00386,D0412,email,2026-02-16,
A00387,D0264,call,2026-07-15,WE MAY HAVE TO LOOK AT OTHER VENDORS IF THIS ISN'T RESOLVED.
A00388,D0173,call,2026/06/02,"THANKS SO MUCH FOR THE QUICK TURNAROUND, THIS LOOKS GREAT!"
A00389,D0029,Follow Up,2026-03-19,"great call today, looking forward to next steps."
A00390,D0187,follow-up,12-01-2026,"Really appreciate the detailed proposal, excited to move forward."
A00391,D0615,Meeting,29/04/2026,"Great call today, looking forward to next steps."
A00392,D0456,call,2026/01/23,"Really appreciate the detailed proposal, excited to move forward."
A00393,D0299,Call,07/05/2026,
A00394,D0198,Follow Up,2026/07/07,Can we schedule a call sometime next week?
A00395,D0562,note,2026-05-03,WE MAY HAVE TO LOOK AT OTHER VENDORS IF THIS ISN'T RESOLVED.
A00396,D0145,email,01/11/2025,
A00397,D0061,,2026/07/07,
A00398,D0671,Meeting,2025/11/09,We may have to look at other vendors if this isn't resolved.
A00399,D0659,email,11/07/2025,"Not happy with the delay, please escalate."
A00400,D0642,note,04/06/2026,"Really appreciate the detailed proposal, excited to move forward."
A00401,D0330,follow-up,18/06/2026,Please find attached the requested documents.
A00402,D0295,call,2026-03-22,Following up on our last conversation regarding pricing.
A00403,D0602,Follow Up,22-05-2026,
A00404,D0311,note,2026/01/26,"Thanks so much for the quick turnaround, this looks great!"
A00405,D0445,follow-up,12/17/2025,We may have to look at other vendors if this isn't resolved.
A00406,D0220,Call,04/06/2026,
A00407,D0209,,2026/02/26,"THANKS SO MUCH FOR THE QUICK TURNAROUND, THIS LOOKS GREAT!"
A00408,D0706,Call,2026-04-01,Following up on our last conversation regarding pricing.
A00409,D0339,EMAIL,02/15/2026,Can we schedule a call sometime next week?
A00410,D0160,EMAIL,2026/04/18,Please find attached the requested documents.
A00411,D0585,meeting,16-02-2026,"This is taking longer than expected, we need an update ASAP."
A00412,D0424,note,11/14/2025,
A00413,D0710,note,,"not happy with the delay, please escalate."
A00414,D0073,Call,26/02/2026,"really appreciate the detailed proposal, excited to move forward."
A00415,D0758,meeting,15/07/2026,Please find attached the requested documents.
A00416,D0584,meeting,2026-02-15,"This is taking longer than expected, we need an update ASAP."
A00417,D0089,follow-up,05/18/2026,
A00418,D0491,Call,2026-02-18,"this is taking longer than expected, we need an update asap."
A00419,D0826,Call,2026/01/26,Can we schedule a call sometime next week?
A00420,D0612,call,2025/12/13,Following up on our last conversation regarding pricing.
A00421,D0045,Follow Up,,"Great call today, looking forward to next steps."
A00422,D0180,Meeting,2026-05-13,"This is taking longer than expected, we need an update ASAP."
A00423,D0518,Call,12/05/2025,Can we schedule a call sometime next week?
A00424,D0893,,N/A,Following up on our last conversation regarding pricing.
A00425,D0165,EMAIL,07-04-2026,
A00426,D0531,follow-up,,"Great call today, looking forward to next steps."
A00427,D0040,EMAIL,05/28/2026,"Thanks so much for the quick turnaround, this looks great!"
A00428,D0834,note,2026-07-09,
A00429,D0559,Call,,"Not happy with the delay, please escalate."
A00430,D0290,Follow Up,12/14/2025,"Not happy with the delay, please escalate."
A00431,D0652,,01/27/2026,"Not happy with the delay, please escalate."
A00432,D0148,meeting,11/26/2025,"This is taking longer than expected, we need an update ASAP."
A00433,D0377,call,07-11-2025,"GREAT CALL TODAY, LOOKING FORWARD TO NEXT STEPS."
A00434,D0860,follow-up,03/11/2025,"Great call today, looking forward to next steps."
A00435,D0416,note,30/05/2026,"Not happy with the delay, please escalate."
A00436,D0373,Meeting,12/12/2025,"Great call today, looking forward to next steps."
A00437,D0223,email,2026/04/18,Can we schedule a call sometime next week?
A00438,D0783,note,29-03-2026,Following up on our last conversation regarding pricing.
A00439,D0556,,2026/07/24,"THIS IS TAKING LONGER THAN EXPECTED, WE NEED AN UPDATE ASAP."
A00440,D0565,EMAIL,2026/04/06,"this is taking longer than expected, we need an update asap."
A00441,D0711,email,11/07/2025,Please find attached the requested documents.
A00442,D0788,EMAIL,2026/05/20,following up on our last conversation regarding pricing.
A00443,D0252,EMAIL,27/07/2026,Can we schedule a call sometime next week?
A00444,D0544,call,2026-04-23,"REALLY APPRECIATE THE DETAILED PROPOSAL, EXCITED TO MOVE FORWARD."
A00445,D0891,call,2026-06-01,Can we schedule a call sometime next week?
A00446,D0762,EMAIL,21-12-2025,"Really appreciate the detailed proposal, excited to move forward."
A00447,D0598,,04/28/2026,Please find attached the requested documents.
A00448,D0164,EMAIL,2025-12-31,We may have to look at other vendors if this isn't resolved.
A00449,D0576,follow-up,23-12-2025,Following up on our last conversation regarding pricing.
A00450,D0151,,2026-06-18,"Great call today, looking forward to next steps."
A00451,D0489,EMAIL,2026/05/18,Can we schedule a call sometime next week?
A00452,D0187,,09/06/2026,Can we schedule a call sometime next week?
A00453,D0185,Meeting,N/A,"Great call today, looking forward to next steps."
A00454,D0154,Call,01/10/2026,Can we schedule a call sometime next week?
A00455,D0806,Call,14/11/2025,"Thanks so much for the quick turnaround, this looks great!"
A00456,D0174,Meeting,11/23/2025,We may have to look at other vendors if this isn't resolved.
A00457,D0025,,12/09/2025,"Thanks so much for the quick turnaround, this looks great!"
A00458,D0270,,06-11-2025,"Thanks so much for the quick turnaround, this looks great!"
A00459,D0673,,28-07-2026,WE MAY HAVE TO LOOK AT OTHER VENDORS IF THIS ISN'T RESOLVED.
A00460,D0640,call,2026-06-25,Please find attached the requested documents.
A00461,D0390,note,,Please find attached the requested documents.
A00462,D0823,follow-up,12/07/2026,"This is taking longer than expected, we need an update ASAP."
A00463,D0355,meeting,04/12/2025,Please find attached the requested documents.
A00464,D0688,Call,09-12-2025,
A00465,D0132,Call,01/11/2026,CAN WE SCHEDULE A CALL SOMETIME NEXT WEEK?
A00466,D0243,Call,2025-12-20,"Thanks so much for the quick turnaround, this looks great!"
A00467,D0633,Call,21/11/2025,Can we schedule a call sometime next week?
A00468,D0125,call,06/19/2026,"really appreciate the detailed proposal, excited to move forward."
A00469,D0094,call,07/08/2026,
A00470,D0329,follow-up,12/27/2025,"Not happy with the delay, please escalate."
A00471,D0295,Follow Up,2025-11-28,
A00472,D0181,email,2026/06/06,Following up on our last conversation regarding pricing.
A00473,D0078,email,21-02-2026,following up on our last conversation regarding pricing.
A00474,D0607,meeting,2026/03/13,  Please find attached the requested documents.   
A00475,D0354,email,20-04-2026,
A00476,D0065,,2025-12-28,"THIS IS TAKING LONGER THAN EXPECTED, WE NEED AN UPDATE ASAP."
A00477,D0734,,,"Really appreciate the detailed proposal, excited to move forward."
A00478,D0371,Follow Up,2026-07-02,Please find attached the requested documents.
A00479,D0367,,23-04-2026,"Not happy with the delay, please escalate."
A00480,D0195,email,2026-03-03,Can we schedule a call sometime next week?
A00481,D0333,note,14/12/2025,"not happy with the delay, please escalate."
A00482,D0395,note,01/21/2026,Can we schedule a call sometime next week?
A00483,D0153,note,05/07/2026,"great call today, looking forward to next steps."
A00484,D0223,Call,,"not happy with the delay, please escalate."
A00485,D0023,,22-04-2026,We may have to look at other vendors if this isn't resolved.
A00486,D0622,,06/22/2026,
A00487,D0109,Call,02/12/2025,please find attached the requested documents.
A00488,D0507,email,2026-02-02,Please find attached the requested documents.
A00489,D0319,Follow Up,2026-02-03,"Great call today, looking forward to next steps."
A00490,D0383,EMAIL,30/07/2026,"REALLY APPRECIATE THE DETAILED PROPOSAL, EXCITED TO MOVE FORWARD."
A00491,D0253,email,04/13/2026,Can we schedule a call sometime next week?
A00492,D0488,meeting,2025/11/01,Can we schedule a call sometime next week?
A00493,D0330,Follow Up,03/23/2026,Following up on our last conversation regarding pricing.
A00494,D0577,,09-01-2026,We may have to look at other vendors if this isn't resolved.
A00495,D0152,Follow Up,2025/12/03,"Not happy with the delay, please escalate."
A00496,D0746,meeting,N/A,"This is taking longer than expected, we need an update ASAP."
A00497,D0283,EMAIL,2026-03-27,"  Not happy with the delay, please escalate.   "
A00498,D0336,Meeting,22/03/2026,we may have to look at other vendors if this isn't resolved.
A00499,D0328,,2026/05/27,  We may have to look at other vendors if this isn't resolved.   
A00500,D0193,Follow Up,29-12-2025,"Thanks so much for the quick turnaround, this looks great!"
A00501,D0819,follow-up,08/02/2026,"This is taking longer than expected, we need an update ASAP."
A00502,D0306,meeting,04-07-2026,"THANKS SO MUCH FOR THE QUICK TURNAROUND, THIS LOOKS GREAT!"
A00503,D0432,Call,11/08/2025,"Not happy with the delay, please escalate."
A00504,D0609,,2025-12-08,Please find attached the requested documents.
A00505,D0622,,2025/11/23,
A00506,D0054,Meeting,08-05-2026,"Great call today, looking forward to next steps."
A00507,D0564,call,05-12-2025,"this is taking longer than expected, we need an update asap."
A00508,D0779,call,14-01-2026,
A00509,D0735,EMAIL,2025-12-25,"great call today, looking forward to next steps."
A00510,D0731,email,25-11-2025,Can we schedule a call sometime next week?
A00511,D0769,Call,2026/05/13,"Thanks so much for the quick turnaround, this looks great!"
A00512,D0406,EMAIL,2026-04-28,Following up on our last conversation regarding pricing.
A00513,D0890,meeting,2026-03-08,WE MAY HAVE TO LOOK AT OTHER VENDORS IF THIS ISN'T RESOLVED.
A00514,D0715,email,2026-06-10,Following up on our last conversation regarding pricing.
A00515,D0892,EMAIL,27-02-2026,"This is taking longer than expected, we need an update ASAP."
A00516,D0020,follow-up,17/07/2026,"Thanks so much for the quick turnaround, this looks great!"
A00517,D0564,Call,,"  Thanks so much for the quick turnaround, this looks great!   "
A00518,D0008,Meeting,2026/01/08,Can we schedule a call sometime next week?
A00519,D0407,email,2025-12-24,Please find attached the requested documents.
A00520,D0398,EMAIL,2026/06/20,Please find attached the requested documents.
A00521,D0267,note,15-05-2026,"NOT HAPPY WITH THE DELAY, PLEASE ESCALATE."
A00522,D0668,follow-up,07/21/2026,"great call today, looking forward to next steps."
A00523,D0110,email,2025/11/28,Please find attached the requested documents.
A00524,D0185,Follow Up,05-06-2026,"NOT HAPPY WITH THE DELAY, PLEASE ESCALATE."
A00525,D0581,meeting,2026-04-10,PLEASE FIND ATTACHED THE REQUESTED DOCUMENTS.
A00526,D0882,Meeting,15/12/2025,Can we schedule a call sometime next week?
A00527,D0772,EMAIL,26/12/2025,We may have to look at other vendors if this isn't resolved.
A00528,D0684,email,N/A,"Really appreciate the detailed proposal, excited to move forward."
A00529,D0635,call,27-02-2026,"Thanks so much for the quick turnaround, this looks great!"
A00530,D0582,EMAIL,02-03-2026,Following up on our last conversation regarding pricing.
A00531,D0760,Meeting,N/A,"This is taking longer than expected, we need an update ASAP."
A00532,D0036,Call,13-01-2026,"Not happy with the delay, please escalate."
A00533,D0820,email,2026-01-26,"not happy with the delay, please escalate."
A00534,D0743,email,2025/11/29,
A00535,D0577,,N/A,"  Great call today, looking forward to next steps.   "
A00536,D0387,call,,"This is taking longer than expected, we need an update ASAP."
A00537,D0014,Follow Up,2026-02-05,Please find attached the requested documents.
A00538,D0208,meeting,,Please find attached the requested documents.
A00539,D0707,,2026-06-12,"This is taking longer than expected, we need an update ASAP."
A00540,D0811,email,2026-03-03,Please find attached the requested documents.
A00541,D0468,,02-07-2026,Can we schedule a call sometime next week?
A00542,D0329,Meeting,2026/07/20,"This is taking longer than expected, we need an update ASAP."
A00543,D0786,meeting,08/01/2026,We may have to look at other vendors if this isn't resolved.
A00544,D0089,Follow Up,02/20/2026,Can we schedule a call sometime next week?
A00545,D0462,follow-up,04/14/2026,"Thanks so much for the quick turnaround, this looks great!"
A00546,D0641,EMAIL,2026/06/28,"Great call today, looking forward to next steps."
A00547,D0836,email,18/07/2026,"Really appreciate the detailed proposal, excited to move forward."
A00548,D0514,follow-up,,"Really appreciate the detailed proposal, excited to move forward."
A00549,D0564,EMAIL,17-02-2026,"not happy with the delay, please escalate."
A00550,D0817,Meeting,01/12/2025,We may have to look at other vendors if this isn't resolved.
A00551,D0591,Meeting,2026-06-10,Following up on our last conversation regarding pricing.
A00552,D0855,email,2026/02/26,"Really appreciate the detailed proposal, excited to move forward."
A00553,D0712,meeting,21/12/2025,Please find attached the requested documents.
A00554,D0099,email,,"Thanks so much for the quick turnaround, this looks great!"
A00555,D0848,Call,N/A,"Not happy with the delay, please escalate."
A00556,D0367,note,,Please find attached the requested documents.
A00557,D0312,note,10/12/2025,"Thanks so much for the quick turnaround, this looks great!"
A00558,D0512,Meeting,25-01-2026,"Not happy with the delay, please escalate."
A00559,D0552,Call,2025/11/03,Can we schedule a call sometime next week?
A00560,D0028,note,,
A00561,D0259,follow-up,05/15/2026,"Really appreciate the detailed proposal, excited to move forward."
A00562,D0248,Follow Up,2025-12-29,Can we schedule a call sometime next week?
A00563,D0876,,04/04/2026,"REALLY APPRECIATE THE DETAILED PROPOSAL, EXCITED TO MOVE FORWARD."
A00564,D0884,call,27/01/2026,"Really appreciate the detailed proposal, excited to move forward."
A00565,D0714,Follow Up,2026/01/03,"Thanks so much for the quick turnaround, this looks great!"
A00566,D0530,,18/11/2025,
A00567,D0616,Meeting,01/17/2026,"really appreciate the detailed proposal, excited to move forward."
A00568,D0006,note,12/28/2025,"THIS IS TAKING LONGER THAN EXPECTED, WE NEED AN UPDATE ASAP."
A00569,D0349,Follow Up,12/30/2025,"Not happy with the delay, please escalate."
A00570,D0119,Call,04/03/2026,"Thanks so much for the quick turnaround, this looks great!"
A00571,D0716,note,,We may have to look at other vendors if this isn't resolved.
A00572,D0557,Call,2026-07-17,Please find attached the requested documents.
A00573,D0069,Call,09-06-2026,"Not happy with the delay, please escalate."
A00574,D0897,EMAIL,05/03/2026,"Really appreciate the detailed proposal, excited to move forward."
A00575,D0457,follow-up,06-04-2026,"NOT HAPPY WITH THE DELAY, PLEASE ESCALATE."
A00576,D0190,Follow Up,2026/04/26,"  Thanks so much for the quick turnaround, this looks great!   "
A00577,D0137,note,,
A00578,D0538,meeting,2026-02-27,Please find attached the requested documents.
A00579,D0250,,06/11/2026,"Not happy with the delay, please escalate."
A00580,D0177,note,2025/12/24,"really appreciate the detailed proposal, excited to move forward."
A00581,D0523,EMAIL,2025-11-14,"Not happy with the delay, please escalate."
A00582,D0580,EMAIL,15/03/2026,Can we schedule a call sometime next week?
A00583,D0417,call,2025-11-13,
A00584,D0688,Meeting,2026/01/14,Following up on our last conversation regarding pricing.
A00585,D0630,follow-up,12/03/2025,Following up on our last conversation regarding pricing.
A00586,D0792,Call,2026-03-04,
A00587,D0539,EMAIL,2026-04-14,Can we schedule a call sometime next week?
A00588,D0666,Meeting,2026/04/11,Can we schedule a call sometime next week?
A00589,D0482,follow-up,2026/01/04,We may have to look at other vendors if this isn't resolved.
A00590,D0677,Follow Up,06-11-2025,"Really appreciate the detailed proposal, excited to move forward."
A00591,D0546,follow-up,2025-11-05,Please find attached the requested documents.
A00592,D0896,meeting,06/03/2026,Can we schedule a call sometime next week?
A00593,D0246,Follow Up,07-04-2026,Following up on our last conversation regarding pricing.
A00594,D0422,meeting,01/11/2025,Following up on our last conversation regarding pricing.
A00595,D0143,meeting,06-03-2026,We may have to look at other vendors if this isn't resolved.
A00596,D0474,Follow Up,2025-12-06,Please find attached the requested documents.
A00597,D0809,Meeting,23/07/2026,  Can we schedule a call sometime next week?   
A00598,D0278,Follow Up,10-11-2025,
A00599,D0128,note,26/03/2026,"THANKS SO MUCH FOR THE QUICK TURNAROUND, THIS LOOKS GREAT!"
A00600,D0261,,2026/03/24,Please find attached the requested documents.
A00601,D0273,call,31/01/2026,"Really appreciate the detailed proposal, excited to move forward."
A00602,D0123,EMAIL,05-11-2025,
A00603,D0111,follow-up,03/09/2026,"Really appreciate the detailed proposal, excited to move forward."
A00604,D0210,call,2026/06/15,"THANKS SO MUCH FOR THE QUICK TURNAROUND, THIS LOOKS GREAT!"
A00605,D0640,meeting,02/22/2026,  Following up on our last conversation regarding pricing.   
A00606,D0770,meeting,21-01-2026,following up on our last conversation regarding pricing.
A00607,D0325,email,26/01/2026,
A00608,D0165,Call,2026/02/03,Please find attached the requested documents.
A00609,D0253,note,22/11/2025,"Great call today, looking forward to next steps."
A00610,D0287,Call,,Please find attached the requested documents.
A00611,D0870,note,03/15/2026,"Really appreciate the detailed proposal, excited to move forward."
A00612,D0455,,13/11/2025,"THIS IS TAKING LONGER THAN EXPECTED, WE NEED AN UPDATE ASAP."
A00613,D0211,,2026/01/21,Can we schedule a call sometime next week?
A00614,D0631,note,2026/07/27,Following up on our last conversation regarding pricing.
A00615,D0616,note,15/03/2026,  Following up on our last conversation regarding pricing.   
A00616,D0281,email,04/25/2026,"This is taking longer than expected, we need an update ASAP."
A00617,D0025,Follow Up,2026-07-07,
A00618,D0586,Meeting,2026-06-19,"Not happy with the delay, please escalate."
A00619,D0435,Call,15-07-2026,Following up on our last conversation regarding pricing.
A00620,D0267,,11/28/2025,We may have to look at other vendors if this isn't resolved.
A00621,D0867,call,31-12-2025,
A00622,D0163,Call,2026/06/14,"Thanks so much for the quick turnaround, this looks great!"
A00623,D0262,,12/08/2025,"This is taking longer than expected, we need an update ASAP."
A00624,D0235,note,2026/07/30,
A00625,D0054,Follow Up,06/24/2026,Please find attached the requested documents.
A00626,D0715,EMAIL,05/17/2026,"REALLY APPRECIATE THE DETAILED PROPOSAL, EXCITED TO MOVE FORWARD."
A00627,D0837,EMAIL,01/01/2026,We may have to look at other vendors if this isn't resolved.
A00628,D0157,follow-up,11/24/2025,"Thanks so much for the quick turnaround, this looks great!"
A00629,D0279,follow-up,2026/05/17,We may have to look at other vendors if this isn't resolved.
A00630,D0172,call,06/10/2026,Following up on our last conversation regarding pricing.
A00631,D0588,meeting,11/06/2026,"Great call today, looking forward to next steps."
A00632,D0166,Follow Up,2026-03-27,"this is taking longer than expected, we need an update asap."
A00633,D0542,,01/11/2025,We may have to look at other vendors if this isn't resolved.
A00634,D0538,,2026/05/07,Can we schedule a call sometime next week?
A00635,D0858,note,2025/11/14,"this is taking longer than expected, we need an update asap."
A00636,D0130,call,2026/06/30,Can we schedule a call sometime next week?
A00637,D0423,note,12-11-2025,"Thanks so much for the quick turnaround, this looks great!"
A00638,D0017,email,11/13/2025,"Not happy with the delay, please escalate."
A00639,D0768,EMAIL,22-01-2026,
A00640,D0233,,11/01/2026,"Not happy with the delay, please escalate."
A00641,D0210,,2026-05-07,Following up on our last conversation regarding pricing.
A00642,D0104,meeting,05-06-2026,"Not happy with the delay, please escalate."
A00643,D0894,note,N/A,Please find attached the requested documents.
A00644,D0489,call,10/05/2026,"Really appreciate the detailed proposal, excited to move forward."
A00645,D0519,EMAIL,,"really appreciate the detailed proposal, excited to move forward."
A00646,D0277,call,,Following up on our last conversation regarding pricing.
A00647,D0460,note,2025/12/03,"Not happy with the delay, please escalate."
A00648,D0377,call,2026/01/26,"Really appreciate the detailed proposal, excited to move forward."
A00649,D0444,follow-up,,We may have to look at other vendors if this isn't resolved.
A00650,D0069,EMAIL,09/04/2026,Can we schedule a call sometime next week?
A00651,D0740,meeting,06/21/2026,"Really appreciate the detailed proposal, excited to move forward."
A00652,D0226,call,,"Thanks so much for the quick turnaround, this looks great!"
A00653,D0583,email,04/23/2026,"This is taking longer than expected, we need an update ASAP."
A00654,D0216,call,05/02/2026,"Thanks so much for the quick turnaround, this looks great!"
A00655,D0068,email,03/23/2026,"not happy with the delay, please escalate."
A00656,D0832,Meeting,05-01-2026,"Not happy with the delay, please escalate."
A00657,D0572,follow-up,11-03-2026,Can we schedule a call sometime next week?
A00658,D0856,Follow Up,14-03-2026,
A00659,D0495,meeting,2026/01/16,Please find attached the requested documents.
A00660,D0415,call,31-05-2026,please find attached the requested documents.
A00661,D0229,email,03/12/2026,"Not happy with the delay, please escalate."
A00662,D0715,follow-up,25/11/2025,"This is taking longer than expected, we need an update ASAP."
A00663,D0084,email,29/05/2026,"Really appreciate the detailed proposal, excited to move forward."
A00664,D0059,note,14/05/2026,"Great call today, looking forward to next steps."
A00665,D0342,Meeting,02/05/2026,"Not happy with the delay, please escalate."
A00666,D0406,Follow Up,17/06/2026,Following up on our last conversation regarding pricing.
A00667,D0169,Meeting,05-01-2026,"This is taking longer than expected, we need an update ASAP."
A00668,D0085,call,26/04/2026,"Not happy with the delay, please escalate."
A00669,D0813,EMAIL,2026-06-22,"not happy with the delay, please escalate."
A00670,D0864,Meeting,09-05-2026,"REALLY APPRECIATE THE DETAILED PROPOSAL, EXCITED TO MOVE FORWARD."
A00671,D0339,Call,,"Really appreciate the detailed proposal, excited to move forward."
A00672,D0842,email,15/03/2026,"not happy with the delay, please escalate."
A00673,D0631,follow-up,N/A,please find attached the requested documents.
A00674,D0873,meeting,2026/05/03,"Really appreciate the detailed proposal, excited to move forward."
A00675,D0291,call,08-03-2026,"Great call today, looking forward to next steps."
A00676,D0368,follow-up,13/02/2026,"This is taking longer than expected, we need an update ASAP."
A00677,D0868,meeting,03/14/2026,Following up on our last conversation regarding pricing.
A00678,D0038,Call,N/A,"really appreciate the detailed proposal, excited to move forward."
A00679,D0130,EMAIL,11-06-2026,Can we schedule a call sometime next week?
A00680,D0736,,2026-05-28,We may have to look at other vendors if this isn't resolved.
A00681,D0727,email,2026-03-21,can we schedule a call sometime next week?
A00682,D0068,call,,Please find attached the requested documents.
A00683,D0475,note,17-07-2026,"not happy with the delay, please escalate."
A00684,D0725,note,2026/05/13,"GREAT CALL TODAY, LOOKING FORWARD TO NEXT STEPS."
A00685,D0257,note,28-04-2026,"GREAT CALL TODAY, LOOKING FORWARD TO NEXT STEPS."
A00686,D0526,Follow Up,20-06-2026,Following up on our last conversation regarding pricing.
A00687,D0790,call,29-11-2025,Can we schedule a call sometime next week?
A00688,D0791,follow-up,12/06/2025,Can we schedule a call sometime next week?
A00689,D0762,follow-up,09/07/2026,We may have to look at other vendors if this isn't resolved.
A00690,D0627,email,2026-02-14,"Not happy with the delay, please escalate."
A00691,D0298,follow-up,04/03/2026,
A00692,D0604,Call,19/04/2026,"Not happy with the delay, please escalate."
A00693,D0237,Meeting,12/26/2025,"Not happy with the delay, please escalate."
A00694,D0873,call,2026/02/18,
A00695,D0235,call,19/11/2025,Following up on our last conversation regarding pricing.
A00696,D0078,meeting,2026/02/24,"THIS IS TAKING LONGER THAN EXPECTED, WE NEED AN UPDATE ASAP."
A00697,D0751,meeting,2026-05-07,"Not happy with the delay, please escalate."
A00698,D0678,follow-up,2026-07-19,Following up on our last conversation regarding pricing.
A00699,D0744,Meeting,04/07/2026,
A00700,D0663,email,2025-11-28,"really appreciate the detailed proposal, excited to move forward."
A00701,D0265,EMAIL,06-03-2026,"this is taking longer than expected, we need an update asap."
A00702,D0747,EMAIL,29-11-2025,Please find attached the requested documents.
A00703,D0655,Call,N/A,"Great call today, looking forward to next steps."
A00704,D0004,email,N/A,Please find attached the requested documents.
A00705,D0463,Meeting,2026/03/06,"Not happy with the delay, please escalate."
A00706,D0630,meeting,12-01-2026,"Really appreciate the detailed proposal, excited to move forward."
A00707,D0194,follow-up,2026-03-10,"Really appreciate the detailed proposal, excited to move forward."
A00708,D0351,EMAIL,2026/03/25,Following up on our last conversation regarding pricing.
A00709,D0647,Meeting,,"This is taking longer than expected, we need an update ASAP."
A00710,D0827,follow-up,02/12/2025,following up on our last conversation regarding pricing.
A00711,D0496,Follow Up,2026-03-31,Following up on our last conversation regarding pricing.
A00712,D0800,,05/02/2026,"This is taking longer than expected, we need an update ASAP."
A00713,D0043,call,2025-12-28,CAN WE SCHEDULE A CALL SOMETIME NEXT WEEK?
A00714,D0382,Meeting,2026-02-17,
A00715,D0864,Call,2026/02/26,"Really appreciate the detailed proposal, excited to move forward."
A00716,D0567,follow-up,30-01-2026,
A00717,D0856,Meeting,2026/03/01,"This is taking longer than expected, we need an update ASAP."
A00718,D0057,meeting,02/09/2026,Please find attached the requested documents.
A00719,D0288,Meeting,2025-11-14,We may have to look at other vendors if this isn't resolved.
A00720,D0757,meeting,2026-02-13,Please find attached the requested documents.
A00721,D0891,EMAIL,2026/07/12,
A00722,D0271,Meeting,2025-12-23,"Great call today, looking forward to next steps."
A00723,D0081,email,,Please find attached the requested documents.
A00724,D0555,Call,2025/12/18,We may have to look at other vendors if this isn't resolved.
A00725,D0305,Call,2026-01-15,Please find attached the requested documents.
A00726,D0674,Meeting,2026-04-15,"GREAT CALL TODAY, LOOKING FORWARD TO NEXT STEPS."
A00727,D0603,call,22/03/2026,"Thanks so much for the quick turnaround, this looks great!"
A00728,D0555,Call,2025/11/30,We may have to look at other vendors if this isn't resolved.
A00729,D0343,EMAIL,2025/11/14,
A00730,D0224,EMAIL,2026/01/07,
A00731,D0536,meeting,11/30/2025,
A00732,D0217,Follow Up,12/02/2025,We may have to look at other vendors if this isn't resolved.
A00733,D0605,note,03-07-2026,  Please find attached the requested documents.   
A00734,D0128,note,2026/04/07,"NOT HAPPY WITH THE DELAY, PLEASE ESCALATE."
A00735,D0605,email,01/04/2026,"Great call today, looking forward to next steps."
A00736,D0688,email,2026-03-26,Following up on our last conversation regarding pricing.
A00737,D0749,Call,01/14/2026,Following up on our last conversation regarding pricing.
A00738,D0003,email,2026-06-30,"this is taking longer than expected, we need an update asap."
A00739,D0148,EMAIL,2026-05-11,Can we schedule a call sometime next week?
A00740,D0676,follow-up,19/02/2026,Following up on our last conversation regarding pricing.
A00741,D0399,Meeting,02/16/2026,"Not happy with the delay, please escalate."
A00742,D0051,meeting,,"not happy with the delay, please escalate."
A00743,D0854,call,2026/06/14,  Please find attached the requested documents.   
A00744,D0295,EMAIL,05/08/2026,"This is taking longer than expected, we need an update ASAP."
A00745,D0781,follow-up,N/A,"Not happy with the delay, please escalate."
A00746,D0461,email,17-12-2025,"Not happy with the delay, please escalate."
A00747,D0492,email,12/26/2025,"Thanks so much for the quick turnaround, this looks great!"
A00748,D0394,email,2026/04/23,We may have to look at other vendors if this isn't resolved.
A00749,D0275,Meeting,2026-05-12,Please find attached the requested documents.
A00750,D0318,note,,"  Really appreciate the detailed proposal, excited to move forward.   "
A00751,D0830,email,2025/11/01,We may have to look at other vendors if this isn't resolved.
A00752,D0542,call,2025-12-21,Can we schedule a call sometime next week?
A00753,D0430,Follow Up,07/07/2026,following up on our last conversation regarding pricing.
A00754,D0739,note,19-04-2026,Following up on our last conversation regarding pricing.
A00755,D0617,Follow Up,2026-05-21,"This is taking longer than expected, we need an update ASAP."
A00756,D0251,Meeting,,Can we schedule a call sometime next week?
A00757,D0546,Meeting,07/05/2026,
A00758,D0579,EMAIL,2025-12-17,Following up on our last conversation regarding pricing.
A00759,D0757,Call,2026/05/06,"Not happy with the delay, please escalate."
A00760,D0220,email,2025-12-16,PLEASE FIND ATTACHED THE REQUESTED DOCUMENTS.
A00761,D0124,meeting,30/01/2026,FOLLOWING UP ON OUR LAST CONVERSATION REGARDING PRICING.
A00762,D0627,Call,05-03-2026,We may have to look at other vendors if this isn't resolved.
A00763,D0247,call,21-07-2026,we may have to look at other vendors if this isn't resolved.
A00764,D0747,call,01/05/2026,Following up on our last conversation regarding pricing.
A00765,D0103,Call,02/25/2026,PLEASE FIND ATTACHED THE REQUESTED DOCUMENTS.
A00766,D0366,,11/06/2025,"Thanks so much for the quick turnaround, this looks great!"
A00767,D0586,call,07/25/2026,"Great call today, looking forward to next steps."
A00768,D0047,EMAIL,06/29/2026,following up on our last conversation regarding pricing.
A00769,D0678,,12/17/2025,"thanks so much for the quick turnaround, this looks great!"
A00770,D0210,Meeting,27-05-2026,
A00771,D0163,,11/03/2025,CAN WE SCHEDULE A CALL SOMETIME NEXT WEEK?
A00772,D0864,note,02/04/2026,FOLLOWING UP ON OUR LAST CONVERSATION REGARDING PRICING.
