activity_id,deal_id,activity_type,activity_date,notes,orphaned_deal
A00430,D0290,follow_up,,"Not happy with the delay, please escalate.",False
A00431,D0652,unknown,,"Not happy with the delay, please escalate.",False
A00432,D0148,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00433,D0377,call,,"Great call today, looking forward to next steps.",False
A00434,D0860,follow_up,2025-11-03,"Great call today, looking forward to next steps.",False
A00435,D0416,note,2026-05-30,"Not happy with the delay, please escalate.",False
A00436,D0373,meeting,2025-12-12,"Great call today, looking forward to next steps.",False
A00437,D0223,email,,Can we schedule a call sometime next week?,False
A00438,D0783,note,,Following up on our last conversation regarding pricing.,False
A00439,D0556,unknown,,"This is taking longer than expected, we need an update asap.",False
A00440,D0565,email,,"this is taking longer than expected, we need an update asap.",False
A00441,D0711,email,2025-07-11,Please find attached the requested documents.,False
A00442,D0788,email,,following up on our last conversation regarding pricing.,False
A00443,D0252,email,2026-07-27,Can we schedule a call sometime next week?,False
A00444,D0544,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00445,D0891,call,2026-01-06,Can we schedule a call sometime next week?,False
A00446,D0762,email,,"Really appreciate the detailed proposal, excited to move forward.",False
A00447,D0598,unknown,,Please find attached the requested documents.,False
A00448,D0164,email,,We may have to look at other vendors if this isn't resolved.,False
A00449,D0576,follow_up,,Following up on our last conversation regarding pricing.,False
A00450,D0151,unknown,,"Great call today, looking forward to next steps.",False
A00451,D0489,email,,Can we schedule a call sometime next week?,False
A00452,D0187,unknown,2026-06-09,Can we schedule a call sometime next week?,False
A00453,D0185,meeting,,"Great call today, looking forward to next steps.",False
A00454,D0154,call,2026-10-01,Can we schedule a call sometime next week?,False
A00455,D0806,call,2025-11-14,"Thanks so much for the quick turnaround, this looks great!",False
A00456,D0174,meeting,,We may have to look at other vendors if this isn't resolved.,False
A00457,D0025,unknown,2025-09-12,"Thanks so much for the quick turnaround, this looks great!",False
A00458,D0270,unknown,,"Thanks so much for the quick turnaround, this looks great!",False
A00459,D0673,unknown,,We may have to look at other vendors if this isn't resolved.,False
A00460,D0640,call,,Please find attached the requested documents.,False
A00461,D0390,note,,Please find attached the requested documents.,False
A00462,D0823,follow_up,2026-07-12,"This is taking longer than expected, we need an update ASAP.",False
A00463,D0355,meeting,2025-12-04,Please find attached the requested documents.,False
A00464,D0688,call,,,False
A00465,D0132,call,2026-11-01,Can we schedule a call sometime next week?,False
A00466,D0243,call,,"Thanks so much for the quick turnaround, this looks great!",False
A00467,D0633,call,2025-11-21,Can we schedule a call sometime next week?,False
A00468,D0125,call,,"really appreciate the detailed proposal, excited to move forward.",False
A00469,D0094,call,2026-08-07,,False
A00470,D0329,follow_up,,"Not happy with the delay, please escalate.",False
A00471,D0295,follow_up,,,False
A00472,D0181,email,,Following up on our last conversation regarding pricing.,False
A00473,D0078,email,,following up on our last conversation regarding pricing.,False
A00474,D0607,meeting,,Please find attached the requested documents.,False
A00475,D0354,email,,,False
A00476,D0065,unknown,,"This is taking longer than expected, we need an update asap.",False
A00477,D0734,unknown,,"Really appreciate the detailed proposal, excited to move forward.",False
A00478,D0371,follow_up,2026-02-07,Please find attached the requested documents.,False
A00479,D0367,unknown,,"Not happy with the delay, please escalate.",False
A00480,D0195,email,2026-03-03,Can we schedule a call sometime next week?,False
A00481,D0333,note,2025-12-14,"not happy with the delay, please escalate.",False
A00482,D0395,note,,Can we schedule a call sometime next week?,False
A00483,D0153,note,2026-07-05,"great call today, looking forward to next steps.",False
A00484,D0223,call,,"not happy with the delay, please escalate.",False
A00485,D0023,unknown,,We may have to look at other vendors if this isn't resolved.,False
A00486,D0622,unknown,,,False
A00487,D0109,call,2025-12-02,please find attached the requested documents.,False
A00488,D0507,email,2026-02-02,Please find attached the requested documents.,False
A00489,D0319,follow_up,2026-03-02,"Great call today, looking forward to next steps.",False
A00490,D0383,email,2026-07-30,"Really appreciate the detailed proposal, excited to move forward.",False
A00491,D0253,email,,Can we schedule a call sometime next week?,False
A00492,D0488,meeting,,Can we schedule a call sometime next week?,False
A00493,D0330,follow_up,,Following up on our last conversation regarding pricing.,False
A00494,D0577,unknown,,We may have to look at other vendors if this isn't resolved.,False
A00495,D0152,follow_up,,"Not happy with the delay, please escalate.",False
A00496,D0746,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00497,D0283,email,,"Not happy with the delay, please escalate.",False
A00498,D0336,meeting,2026-03-22,we may have to look at other vendors if this isn't resolved.,False
A00499,D0328,unknown,,We may have to look at other vendors if this isn't resolved.,False
A00500,D0193,follow_up,,"Thanks so much for the quick turnaround, this looks great!",False
A00501,D0819,follow_up,2026-02-08,"This is taking longer than expected, we need an update ASAP.",False
A00502,D0306,meeting,,"Thanks so much for the quick turnaround, this looks great!",False
A00503,D0432,call,2025-08-11,"Not happy with the delay, please escalate.",False
A00504,D0609,unknown,2025-08-12,Please find attached the requested documents.,False
A00505,D0622,unknown,,,False
A00506,D0054,meeting,,"Great call today, looking forward to next steps.",False
A00507,D0564,call,,"this is taking longer than expected, we need an update asap.",False
A00508,D0779,call,,,False
A00509,D0735,email,,"great call today, looking forward to next steps.",False
A00510,D0731,email,,Can we schedule a call sometime next week?,False
A00511,D0769,call,,"Thanks so much for the quick turnaround, this looks great!",False
A00512,D0406,email,,Following up on our last conversation regarding pricing.,False
A00513,D0890,meeting,2026-08-03,We may have to look at other vendors if this isn't resolved.,False
A00514,D0715,email,2026-10-06,Following up on our last conversation regarding pricing.,False
A00515,D0892,email,,"This is taking longer than expected, we need an update ASAP.",False
A00516,D0020,follow_up,2026-07-17,"Thanks so much for the quick turnaround, this looks great!",False
A00517,D0564,call,,"Thanks so much for the quick turnaround, this looks great!",False
A00518,D0008,meeting,,Can we schedule a call sometime next week?,False
A00519,D0407,email,,Please find attached the requested documents.,False
A00520,D0398,email,,Please find attached the requested documents.,False
A00521,D0267,note,,"Not happy with the delay, please escalate.",False
A00522,D0668,follow_up,,"great call today, looking forward to next steps.",False
A00523,D0110,email,,Please find attached the requested documents.,False
A00524,D0185,follow_up,,"Not happy with the delay, please escalate.",False
A00525,D0581,meeting,2026-10-04,Please find attached the requested documents.,False
A00526,D0882,meeting,2025-12-15,Can we schedule a call sometime next week?,False
A00527,D0772,email,2025-12-26,We may have to look at other vendors if this isn't resolved.,False
A00528,D0684,email,,"Really appreciate the detailed proposal, excited to move forward.",False
A00529,D0635,call,,"Thanks so much for the quick turnaround, this looks great!",False
A00530,D0582,email,,Following up on our last conversation regarding pricing.,False
A00531,D0760,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00532,D0036,call,,"Not happy with the delay, please escalate.",False
A00533,D0820,email,,"not happy with the delay, please escalate.",False
A00534,D0743,email,,,False
A00535,D0577,unknown,,"Great call today, looking forward to next steps.",False
A00536,D0387,call,,"This is taking longer than expected, we need an update ASAP.",False
A00537,D0014,follow_up,2026-05-02,Please find attached the requested documents.,False
A00538,D0208,meeting,,Please find attached the requested documents.,False
A00539,D0707,unknown,2026-12-06,"This is taking longer than expected, we need an update ASAP.",False
A00540,D0811,email,2026-03-03,Please find attached the requested documents.,False
A00541,D0468,unknown,,Can we schedule a call sometime next week?,False
A00542,D0329,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00543,D0786,meeting,2026-01-08,We may have to look at other vendors if this isn't resolved.,False
A00544,D0089,follow_up,,Can we schedule a call sometime next week?,False
A00545,D0462,follow_up,,"Thanks so much for the quick turnaround, this looks great!",False
A00546,D0641,email,,"Great call today, looking forward to next steps.",False
A00547,D0836,email,2026-07-18,"Really appreciate the detailed proposal, excited to move forward.",False
A00548,D0514,follow_up,,"Really appreciate the detailed proposal, excited to move forward.",False
A00549,D0564,email,,"not happy with the delay, please escalate.",False
A00550,D0817,meeting,2025-12-01,We may have to look at other vendors if this isn't resolved.,False
A00551,D0591,meeting,2026-10-06,Following up on our last conversation regarding pricing.,False
A00552,D0855,email,,"Really appreciate the detailed proposal, excited to move forward.",False
A00553,D0712,meeting,2025-12-21,Please find attached the requested documents.,False
A00554,D0099,email,,"Thanks so much for the quick turnaround, this looks great!",False
A00555,D0848,call,,"Not happy with the delay, please escalate.",False
A00556,D0367,note,,Please find attached the requested documents.,False
A00557,D0312,note,2025-12-10,"Thanks so much for the quick turnaround, this looks great!",False
A00558,D0512,meeting,,"Not happy with the delay, please escalate.",False
A00559,D0552,call,,Can we schedule a call sometime next week?,False
A00560,D0028,note,,,False
A00561,D0259,follow_up,,"Really appreciate the detailed proposal, excited to move forward.",False
A00562,D0248,follow_up,,Can we schedule a call sometime next week?,False
A00563,D0876,unknown,2026-04-04,"Really appreciate the detailed proposal, excited to move forward.",False
A00564,D0884,call,2026-01-27,"Really appreciate the detailed proposal, excited to move forward.",False
A00565,D0714,follow_up,,"Thanks so much for the quick turnaround, this looks great!",False
A00566,D0530,unknown,2025-11-18,,False
A00567,D0616,meeting,,"really appreciate the detailed proposal, excited to move forward.",False
A00568,D0006,note,,"This is taking longer than expected, we need an update asap.",False
A00569,D0349,follow_up,,"Not happy with the delay, please escalate.",False
A00570,D0119,call,2026-03-04,"Thanks so much for the quick turnaround, this looks great!",False
A00571,D0716,note,,We may have to look at other vendors if this isn't resolved.,False
A00572,D0557,call,,Please find attached the requested documents.,False
A00573,D0069,call,,"Not happy with the delay, please escalate.",False
A00574,D0897,email,2026-03-05,"Really appreciate the detailed proposal, excited to move forward.",False
A00575,D0457,follow_up,,"Not happy with the delay, please escalate.",False
A00576,D0190,follow_up,,"Thanks so much for the quick turnaround, this looks great!",False
A00577,D0137,note,,,False
A00578,D0538,meeting,,Please find attached the requested documents.,False
A00579,D0250,unknown,2026-11-06,"Not happy with the delay, please escalate.",False
A00580,D0177,note,,"really appreciate the detailed proposal, excited to move forward.",False
A00581,D0523,email,,"Not happy with the delay, please escalate.",False
A00582,D0580,email,2026-03-15,Can we schedule a call sometime next week?,False
A00583,D0417,call,,,False
A00584,D0688,meeting,,Following up on our last conversation regarding pricing.,False
A00585,D0630,follow_up,2025-03-12,Following up on our last conversation regarding pricing.,False
A00586,D0792,call,2026-04-03,,False
A00587,D0539,email,,Can we schedule a call sometime next week?,False
A00588,D0666,meeting,,Can we schedule a call sometime next week?,False
A00589,D0482,follow_up,,We may have to look at other vendors if this isn't resolved.,False
A00590,D0677,follow_up,,"Really appreciate the detailed proposal, excited to move forward.",False
A00591,D0546,follow_up,2025-05-11,Please find attached the requested documents.,False
A00592,D0896,meeting,2026-03-06,Can we schedule a call sometime next week?,False
A00593,D0246,follow_up,,Following up on our last conversation regarding pricing.,False
A00594,D0422,meeting,2025-11-01,Following up on our last conversation regarding pricing.,False
A00595,D0143,meeting,,We may have to look at other vendors if this isn't resolved.,False
A00596,D0474,follow_up,2025-06-12,Please find attached the requested documents.,False
A00597,D0809,meeting,2026-07-23,Can we schedule a call sometime next week?,False
A00598,D0278,follow_up,,,False
A00599,D0128,note,2026-03-26,"Thanks so much for the quick turnaround, this looks great!",False
A00600,D0261,unknown,,Please find attached the requested documents.,False
A00601,D0273,call,2026-01-31,"Really appreciate the detailed proposal, excited to move forward.",False
A00602,D0123,email,,,False
A00603,D0111,follow_up,2026-09-03,"Really appreciate the detailed proposal, excited to move forward.",False
A00604,D0210,call,,"Thanks so much for the quick turnaround, this looks great!",False
A00605,D0640,meeting,,Following up on our last conversation regarding pricing.,False
A00606,D0770,meeting,,following up on our last conversation regarding pricing.,False
A00607,D0325,email,2026-01-26,,False
A00608,D0165,call,,Please find attached the requested documents.,False
A00609,D0253,note,2025-11-22,"Great call today, looking forward to next steps.",False
A00610,D0287,call,,Please find attached the requested documents.,False
A00611,D0870,note,,"Really appreciate the detailed proposal, excited to move forward.",False
A00612,D0455,unknown,2025-11-13,"This is taking longer than expected, we need an update asap.",False
A00613,D0211,unknown,,Can we schedule a call sometime next week?,False
A00614,D0631,note,,Following up on our last conversation regarding pricing.,False
A00615,D0616,note,2026-03-15,Following up on our last conversation regarding pricing.,False
A00616,D0281,email,,"This is taking longer than expected, we need an update ASAP.",False
A00617,D0025,follow_up,2026-07-07,,False
A00618,D0586,meeting,,"Not happy with the delay, please escalate.",False
A00619,D0435,call,,Following up on our last conversation regarding pricing.,False
A00620,D0267,unknown,,We may have to look at other vendors if this isn't resolved.,False
A00621,D0867,call,,,False
A00622,D0163,call,,"Thanks so much for the quick turnaround, this looks great!",False
A00623,D0262,unknown,2025-08-12,"This is taking longer than expected, we need an update ASAP.",False
A00624,D0235,note,,,False
A00625,D0054,follow_up,,Please find attached the requested documents.,False
A00626,D0715,email,,"Really appreciate the detailed proposal, excited to move forward.",False
A00627,D0837,email,2026-01-01,We may have to look at other vendors if this isn't resolved.,False
A00628,D0157,follow_up,,"Thanks so much for the quick turnaround, this looks great!",False
A00629,D0279,follow_up,,We may have to look at other vendors if this isn't resolved.,False
A00630,D0172,call,2026-10-06,Following up on our last conversation regarding pricing.,False
A00631,D0588,meeting,2026-06-11,"Great call today, looking forward to next steps.",False
A00632,D0166,follow_up,,"this is taking longer than expected, we need an update asap.",False
A00633,D0542,unknown,2025-11-01,We may have to look at other vendors if this isn't resolved.,False
A00634,D0538,unknown,,Can we schedule a call sometime next week?,False
A00635,D0858,note,,"this is taking longer than expected, we need an update asap.",False
A00636,D0130,call,,Can we schedule a call sometime next week?,False
A00637,D0423,note,,"Thanks so much for the quick turnaround, this looks great!",False
A00638,D0017,email,,"Not happy with the delay, please escalate.",False
A00639,D0768,email,,,False
A00640,D0233,unknown,2026-01-11,"Not happy with the delay, please escalate.",False
A00641,D0210,unknown,2026-07-05,Following up on our last conversation regarding pricing.,False
A00642,D0104,meeting,,"Not happy with the delay, please escalate.",False
A00643,D0894,note,,Please find attached the requested documents.,False
A00644,D0489,call,2026-05-10,"Really appreciate the detailed proposal, excited to move forward.",False
A00645,D0519,email,,"really appreciate the detailed proposal, excited to move forward.",False
A00646,D0277,call,,Following up on our last conversation regarding pricing.,False
A00647,D0460,note,,"Not happy with the delay, please escalate.",False
A00648,D0377,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00649,D0444,follow_up,,We may have to look at other vendors if this isn't resolved.,False
A00650,D0069,email,2026-04-09,Can we schedule a call sometime next week?,False
A00651,D0740,meeting,,"Really appreciate the detailed proposal, excited to move forward.",False
A00652,D0226,call,,"Thanks so much for the quick turnaround, this looks great!",False
A00653,D0583,email,,"This is taking longer than expected, we need an update ASAP.",False
A00654,D0216,call,2026-02-05,"Thanks so much for the quick turnaround, this looks great!",False
A00655,D0068,email,,"not happy with the delay, please escalate.",False
A00656,D0832,meeting,,"Not happy with the delay, please escalate.",False
A00657,D0572,follow_up,,Can we schedule a call sometime next week?,False
A00658,D0856,follow_up,,,False
A00659,D0495,meeting,,Please find attached the requested documents.,False
A00660,D0415,call,,please find attached the requested documents.,False
A00661,D0229,email,2026-12-03,"Not happy with the delay, please escalate.",False
A00662,D0715,follow_up,2025-11-25,"This is taking longer than expected, we need an update ASAP.",False
A00663,D0084,email,2026-05-29,"Really appreciate the detailed proposal, excited to move forward.",False
A00664,D0059,note,2026-05-14,"Great call today, looking forward to next steps.",False
A00665,D0342,meeting,2026-05-02,"Not happy with the delay, please escalate.",False
A00666,D0406,follow_up,2026-06-17,Following up on our last conversation regarding pricing.,False
A00667,D0169,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00668,D0085,call,2026-04-26,"Not happy with the delay, please escalate.",False
A00669,D0813,email,,"not happy with the delay, please escalate.",False
A00670,D0864,meeting,,"Really appreciate the detailed proposal, excited to move forward.",False
A00671,D0339,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00672,D0842,email,2026-03-15,"not happy with the delay, please escalate.",False
A00673,D0631,follow_up,,please find attached the requested documents.,False
A00674,D0873,meeting,,"Really appreciate the detailed proposal, excited to move forward.",False
A00675,D0291,call,,"Great call today, looking forward to next steps.",False
A00676,D0368,follow_up,2026-02-13,"This is taking longer than expected, we need an update ASAP.",False
A00677,D0868,meeting,,Following up on our last conversation regarding pricing.,False
A00678,D0038,call,,"really appreciate the detailed proposal, excited to move forward.",False
A00679,D0130,email,,Can we schedule a call sometime next week?,False
A00680,D0736,unknown,,We may have to look at other vendors if this isn't resolved.,False
A00681,D0727,email,,can we schedule a call sometime next week?,False
A00682,D0068,call,,Please find attached the requested documents.,False
A00683,D0475,note,,"not happy with the delay, please escalate.",False
A00684,D0725,note,,"Great call today, looking forward to next steps.",False
A00685,D0257,note,,"Great call today, looking forward to next steps.",False
A00686,D0526,follow_up,,Following up on our last conversation regarding pricing.,False
A00687,D0790,call,,Can we schedule a call sometime next week?,False
A00688,D0791,follow_up,2025-06-12,Can we schedule a call sometime next week?,False
A00689,D0762,follow_up,2026-07-09,We may have to look at other vendors if this isn't resolved.,False
A00690,D0627,email,,"Not happy with the delay, please escalate.",False
A00691,D0298,follow_up,2026-03-04,,False
A00692,D0604,call,2026-04-19,"Not happy with the delay, please escalate.",False
A00693,D0237,meeting,,"Not happy with the delay, please escalate.",False
A00694,D0873,call,,,False
A00695,D0235,call,2025-11-19,Following up on our last conversation regarding pricing.,False
A00696,D0078,meeting,,"This is taking longer than expected, we need an update asap.",False
A00697,D0751,meeting,2026-07-05,"Not happy with the delay, please escalate.",False
A00698,D0678,follow_up,,Following up on our last conversation regarding pricing.,False
A00699,D0744,meeting,2026-07-04,,False
A00700,D0663,email,,"really appreciate the detailed proposal, excited to move forward.",False
A00701,D0265,email,,"this is taking longer than expected, we need an update asap.",False
A00702,D0747,email,,Please find attached the requested documents.,False
A00703,D0655,call,,"Great call today, looking forward to next steps.",False
A00704,D0004,email,,Please find attached the requested documents.,False
A00705,D0463,meeting,,"Not happy with the delay, please escalate.",False
A00706,D0630,meeting,,"Really appreciate the detailed proposal, excited to move forward.",False
A00707,D0194,follow_up,2026-10-03,"Really appreciate the detailed proposal, excited to move forward.",False
A00708,D0351,email,,Following up on our last conversation regarding pricing.,False
A00709,D0647,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00710,D0827,follow_up,2025-12-02,following up on our last conversation regarding pricing.,False
A00711,D0496,follow_up,,Following up on our last conversation regarding pricing.,False
A00712,D0800,unknown,2026-02-05,"This is taking longer than expected, we need an update ASAP.",False
A00713,D0043,call,,Can we schedule a call sometime next week?,False
A00714,D0382,meeting,,,False
A00715,D0864,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00716,D0567,follow_up,,,False
A00717,D0856,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00718,D0057,meeting,2026-09-02,Please find attached the requested documents.,False
A00719,D0288,meeting,,We may have to look at other vendors if this isn't resolved.,False
A00720,D0757,meeting,,Please find attached the requested documents.,False
A00721,D0891,email,,,False
A00722,D0271,meeting,,"Great call today, looking forward to next steps.",False
A00723,D0081,email,,Please find attached the requested documents.,False
A00724,D0555,call,,We may have to look at other vendors if this isn't resolved.,False
A00725,D0305,call,,Please find attached the requested documents.,False
A00726,D0674,meeting,,"Great call today, looking forward to next steps.",False
A00727,D0603,call,2026-03-22,"Thanks so much for the quick turnaround, this looks great!",False
A00728,D0555,call,,We may have to look at other vendors if this isn't resolved.,False
A00729,D0343,email,,,False
A00730,D0224,email,,,False
A00731,D0536,meeting,,,False
A00732,D0217,follow_up,2025-02-12,We may have to look at other vendors if this isn't resolved.,False
A00733,D0605,note,,Please find attached the requested documents.,False
A00734,D0128,note,,"Not happy with the delay, please escalate.",False
A00735,D0605,email,2026-04-01,"Great call today, looking forward to next steps.",False
A00736,D0688,email,,Following up on our last conversation regarding pricing.,False
A00737,D0749,call,,Following up on our last conversation regarding pricing.,False
A00738,D0003,email,,"this is taking longer than expected, we need an update asap.",False
A00739,D0148,email,2026-11-05,Can we schedule a call sometime next week?,False
A00740,D0676,follow_up,2026-02-19,Following up on our last conversation regarding pricing.,False
A00741,D0399,meeting,,"Not happy with the delay, please escalate.",False
A00742,D0051,meeting,,"not happy with the delay, please escalate.",False
A00743,D0854,call,,Please find attached the requested documents.,False
A00744,D0295,email,2026-08-05,"This is taking longer than expected, we need an update ASAP.",False
A00745,D0781,follow_up,,"Not happy with the delay, please escalate.",False
A00746,D0461,email,,"Not happy with the delay, please escalate.",False
A00747,D0492,email,,"Thanks so much for the quick turnaround, this looks great!",False
A00748,D0394,email,,We may have to look at other vendors if this isn't resolved.,False
A00749,D0275,meeting,2026-12-05,Please find attached the requested documents.,False
A00750,D0318,note,,"Really appreciate the detailed proposal, excited to move forward.",False
A00751,D0830,email,,We may have to look at other vendors if this isn't resolved.,False
A00752,D0542,call,,Can we schedule a call sometime next week?,False
A00753,D0430,follow_up,2026-07-07,following up on our last conversation regarding pricing.,False
A00754,D0739,note,,Following up on our last conversation regarding pricing.,False
A00755,D0617,follow_up,,"This is taking longer than expected, we need an update ASAP.",False
A00756,D0251,meeting,,Can we schedule a call sometime next week?,False
A00757,D0546,meeting,2026-05-07,,False
A00758,D0579,email,,Following up on our last conversation regarding pricing.,False
A00759,D0757,call,,"Not happy with the delay, please escalate.",False
A00760,D0220,email,,Please find attached the requested documents.,False
A00761,D0124,meeting,2026-01-30,Following up on our last conversation regarding pricing.,False
A00762,D0627,call,,We may have to look at other vendors if this isn't resolved.,False
A00763,D0247,call,,we may have to look at other vendors if this isn't resolved.,False
A00764,D0747,call,2026-05-01,Following up on our last conversation regarding pricing.,False
A00765,D0103,call,,Please find attached the requested documents.,False
A00766,D0366,unknown,2025-06-11,"Thanks so much for the quick turnaround, this looks great!",False
A00767,D0586,call,,"Great call today, looking forward to next steps.",False
A00768,D0047,email,,following up on our last conversation regarding pricing.,False
A00769,D0678,unknown,,"thanks so much for the quick turnaround, this looks great!",False
A00770,D0210,meeting,,,False
A00771,D0163,unknown,2025-03-11,Can we schedule a call sometime next week?,False
A00772,D0864,note,2026-04-02,Following up on our last conversation regarding pricing.,False
A00773,D0446,email,2026-10-03,Please find attached the requested documents.,False
A00774,D0621,follow_up,,Can we schedule a call sometime next week?,False
A00775,D0609,follow_up,,"Not happy with the delay, please escalate.",False
A00776,D0814,unknown,,Following up on our last conversation regarding pricing.,False
A00777,D0856,call,,"This is taking longer than expected, we need an update ASAP.",False
A00778,D0094,follow_up,2025-05-11,"Thanks so much for the quick turnaround, this looks great!",False
A00779,D0878,call,2026-05-05,"Great call today, looking forward to next steps.",False
A00780,D0897,email,,"Thanks so much for the quick turnaround, this looks great!",False
A00781,D0621,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00782,D0266,meeting,,"Great call today, looking forward to next steps.",False
A00783,D0859,email,,"Really appreciate the detailed proposal, excited to move forward.",False
A00784,D0074,note,,"Really appreciate the detailed proposal, excited to move forward.",False
A00785,D0169,meeting,,,False
A00786,D0028,call,2026-08-06,"Really appreciate the detailed proposal, excited to move forward.",False
A00787,D0828,follow_up,,,False
A00788,D0803,follow_up,,"Thanks so much for the quick turnaround, this looks great!",False
A00789,D0321,note,,Please find attached the requested documents.,False
A00790,D0088,follow_up,,We may have to look at other vendors if this isn't resolved.,False
A00791,D0787,call,,,False
A00792,D0389,unknown,,,False
A00793,D0051,call,2026-06-03,"This is taking longer than expected, we need an update ASAP.",False
A00794,D0371,follow_up,,"This is taking longer than expected, we need an update ASAP.",False
A00795,D0423,email,,Following up on our last conversation regarding pricing.,False
A00796,D0051,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00797,D0041,unknown,,Following up on our last conversation regarding pricing.,False
A00798,D0629,follow_up,,"Thanks so much for the quick turnaround, this looks great!",False
A00799,D0877,follow_up,,,False
A00800,D0126,note,,"Really appreciate the detailed proposal, excited to move forward.",False
A00801,D0757,call,,"Great call today, looking forward to next steps.",False
A00802,D0661,email,2026-01-13,,False
A00803,D0275,email,,"Great call today, looking forward to next steps.",False
A00804,D0303,email,,,False
A00805,D0860,note,2025-11-12,Can we schedule a call sometime next week?,False
A00806,D0442,email,,,False
A00807,D0400,meeting,2025-12-30,"Great call today, looking forward to next steps.",False
A00808,D0776,meeting,,"Great call today, looking forward to next steps.",False
A00809,D0692,meeting,2026-06-02,please find attached the requested documents.,False
A00810,D0747,call,2025-11-09,"This is taking longer than expected, we need an update ASAP.",False
A00811,D0884,meeting,,,False
A00812,D0232,call,,We may have to look at other vendors if this isn't resolved.,False
A00813,D0283,meeting,,"Not happy with the delay, please escalate.",False
A00814,D0690,meeting,,"Thanks so much for the quick turnaround, this looks great!",False
A00815,D0210,email,,Following up on our last conversation regarding pricing.,False
A00816,D0323,call,2026-10-07,,False
A00817,D0729,follow_up,2026-02-11,"Really appreciate the detailed proposal, excited to move forward.",False
A00818,D0204,email,,"Not happy with the delay, please escalate.",False
A00819,D0331,email,,"This is taking longer than expected, we need an update ASAP.",False
A00820,D0086,follow_up,2026-04-21,,False
A00821,D0513,note,,"Thanks so much for the quick turnaround, this looks great!",False
A00822,D0841,call,2026-08-07,"Really appreciate the detailed proposal, excited to move forward.",False
A00823,D0563,email,,"Thanks so much for the quick turnaround, this looks great!",False
A00824,D0484,unknown,,"Really appreciate the detailed proposal, excited to move forward.",False
A00825,D0004,follow_up,2025-12-18,Can we schedule a call sometime next week?,False
A00826,D0185,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00827,D0655,follow_up,,Please find attached the requested documents.,False
A00828,D0489,meeting,,"Great call today, looking forward to next steps.",False
A00829,D0175,email,,we may have to look at other vendors if this isn't resolved.,False
A00830,D0282,meeting,,,False
A00831,D0764,meeting,,,False
A00832,D0376,call,,Following up on our last conversation regarding pricing.,False
A00833,D0446,call,2026-08-04,"Really appreciate the detailed proposal, excited to move forward.",False
A00834,D0867,call,2026-11-05,"Thanks so much for the quick turnaround, this looks great!",False
A00835,D0400,note,,"Thanks so much for the quick turnaround, this looks great!",False
A00836,D0075,meeting,2025-04-12,"Really appreciate the detailed proposal, excited to move forward.",False
A00837,D0261,meeting,2026-06-06,We may have to look at other vendors if this isn't resolved.,False
A00838,D0112,unknown,2026-04-04,"This is taking longer than expected, we need an update ASAP.",False
A00839,D0147,follow_up,,Please find attached the requested documents.,False
A00840,D0119,email,,"Thanks so much for the quick turnaround, this looks great!",False
A00841,D0799,email,,"Not happy with the delay, please escalate.",False
A00842,D0755,follow_up,2025-02-11,Following up on our last conversation regarding pricing.,False
A00843,D0742,call,,Can we schedule a call sometime next week?,False
A00844,D0621,call,,"Really appreciate the detailed proposal, excited to move forward.",False
A00845,D0187,call,2026-05-05,Please find attached the requested documents.,False
A00846,D0775,follow_up,,"This is taking longer than expected, we need an update ASAP.",False
A00847,D0385,meeting,,"Not happy with the delay, please escalate.",False
A00848,D0149,follow_up,,"This is taking longer than expected, we need an update ASAP.",False
A00849,D0151,meeting,,"Thanks so much for the quick turnaround, this looks great!",False
A00850,D0584,follow_up,,"Great call today, looking forward to next steps.",False
A00851,D0860,email,,"This is taking longer than expected, we need an update ASAP.",False
A00852,D0057,note,,We may have to look at other vendors if this isn't resolved.,False
A00853,D0121,unknown,2026-04-03,"not happy with the delay, please escalate.",False
A00854,D0576,email,,Can we schedule a call sometime next week?,False
A00855,D0371,email,,"Great call today, looking forward to next steps.",False
A00856,D0018,meeting,,"This is taking longer than expected, we need an update ASAP.",False
A00857,D0146,follow_up,,"Thanks so much for the quick turnaround, this looks great!",False
A00858,D0151,note,,We may have to look at other vendors if this isn't resolved.,False
A00859,D0273,call,2026-02-04,"This is taking longer than expected, we need an update ASAP.",False
A00860,D0850,email,,,False
A00861,D0851,email,,Can we schedule a call sometime next week?,False
A00862,D0769,call,2025-08-12,Please find attached the requested documents.,False
A00863,D0602,meeting,,"Thanks so much for the quick turnaround, this looks great!",False
A00864,D0169,unknown,2026-03-06,"Thanks so much for the quick turnaround, this looks great!",False
A00865,D0615,note,2026-03-17,"Really appreciate the detailed proposal, excited to move forward.",False
A00866,D0782,note,,"Really appreciate the detailed proposal, excited to move forward.",False
